run_id,workers,shards,scale,concurrency,rw_mix
smoke01,"10.132.0.6,10.132.0.7,10.132.0.8",32,10,16,90/10
smoke02,"10.132.0.6,10.132.0.7,10.132.0.8",32,10,32,50/50

