run_id,workers,shards,scale,concurrency,rw_mix
smoke01,"10.132.0.23,10.132.0.24,10.132.0.25,10.132.0.26,10.132.0.27,10.132.0.28",32,10,16,90/10
smoke02,"10.132.0.23,10.132.0.24,10.132.0.25,10.132.0.26,10.132.0.27,10.132.0.28",32,10,32,50/50
