run_id,workers,shards,scale,concurrency,rw_mix
run01,"10.132.0.39,10.132.0.40,10.132.0.41",32,10,32,90/10
run02,"10.132.0.39,10.132.0.40,10.132.0.41",32,100,32,50/50
run03,"10.132.0.39,10.132.0.40,10.132.0.41",128,10,256,90/10
run04,"10.132.0.39,10.132.0.40,10.132.0.41",128,100,256,50/50
run09,"10.132.0.39,10.132.0.40,10.132.0.41,10.132.0.42,10.132.0.43,10.132.0.44",32,10,256,50/50
run10,"10.132.0.39,10.132.0.40,10.132.0.41,10.132.0.42,10.132.0.43,10.132.0.44",32,100,256,90/10
run11,"10.132.0.39,10.132.0.40,10.132.0.41,10.132.0.42,10.132.0.43,10.132.0.44",128,10,32,50/50
run12,"10.132.0.39,10.132.0.40,10.132.0.41,10.132.0.42,10.132.0.43,10.132.0.44",128,100,32,90/10
